Food, density, calorie,fat,carbohydrate,protein
apple,0.609,52,0.2,14,0.3
banana,0.94,89,0.3,23,1.1
bean,0.577,81,0.4,14,5
carrot,0.641,41,0.2,10,0.9
cheese,1.151,402,33,0.5,25
orange,0.482,47,0.1,12,0.9
onion,0.513,40,0.1,9,1.1
pasta,0.641,158,1.1,25,5
tomato,0.481,18,0.2,3.9,0.9
cucumber,0.641,30,0,6,3
sauce,0.521,50,3.8,7,7
kiwi,0.881,61,0.5,15,1.1
watermelon,0.65,30,0.2,8,0.6
bread,0.227,313,4.3,56,13
beetroot,0.6,43,0.2,9.6,1.6
bell pepper,0.5,31,1,4.2,0.3
cabbage,0.5,25,0.1,6,1.3
capsicum,0.6,40,0.2,9,2
carrot,0.8,41,0.9,9.6,0.2
cauliflower,0.5,25,0.3,5,1.9
chilli pepper,0.6,40,0.4,9,1.9
corn,0.7,86,1.2,19,3.2
eggplant,0.5,25,0.2,6,1
garlic,0.3,100,0,17.5,7.5
ginger,0.6,80,0.8,18,1.8
grapes,0.5,62,0.3,15,0.6
jalepeno,0.5,28,0.4,7,0.9
lemon,0.5,29,0.3,9,1.1
lettuce,0.5,15,0.2,2.9,1.4
mango,0.6,107,0,24,1
paprika,0.6,282,13,54,14
pear,0.5,101,0,27,1
peas,0.5,81,0.4,14,5
pineapple,0.6,50,0.1,13,0.5
pomegranate,0.6,72,1.6,26,2.4
potato,0.6,77,0.1,17,2
raddish,0.5,16,0.1,3.4,0.7
soy beans,1.1,446,20,30,36
spinach,0.5,23,0.4,3.6,2.9
sweetcorn,0.7,86,1.2,19,1.2
turnip,0.5,28,0.1,6,0.9
